state,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
Belarus,9490500,0.0118,0.0707,0.4859,0,0,0.5684,0,0,0,0.0013,0.0013,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411,0.0173,0.9827,1,0,143
Belgium,10876395,0.01,0.625,0.006,0.001,0.05,0.692,0,0,0,0.0028,0.0028,0.045,0.005,0,0,0,0,0,0.05,0,0,0.003,0.003,0,0.0007,0.0003,0,0,0,0,0,0,0,0.192,0.0593,0.9407,1.0001,0,83
Benin,8785996,0.0837,0.2441,0.001,0.0004,0.0708,0.4,0,0,0,0,0,0.2623,0.0024,0,0,0,0,0,0.2647,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0.284,0.0334,0.0177,0.9823,1.0001,0,202
Bhutan,694754,0.0048,0.0031,0,0,0.0043,0.0122,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.7562,0.084,0,0.8402,0,0.1039,0,0,0,0,0,0,0,0.0324,0.0003,0.0011,0.9989,1.0001,0,83
Bolivia,10312315,0.1332,0.8088,0.0004,0.0001,0,0.9426,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0004,0.0004,0,0,0,0,0,0,0,0,0.0001,0.0158,0.04,0.0011,0.9989,1.0001,0,84
Bosnia and Herzegovina,3823795,0.01,0.15,0.36,0,0,0.52,0,0,0,0.0003,0.0003,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293,0.0004,0.9996,1,0,83
Botswana,1807515,0.1301,0.0555,0,0,0.5064,0.692,0,0,0,0,0,0.026,0.0014,0,0,0,0,0,0.0274,0,0,0.0006,0.0006,0,0.0014,0.0001,0,0.0019,0,0,0,0.0001,0.2351,0.0249,0.0166,0.9834,1.0001,0,83
Brazil,190755800,0.268,0.596,0,0,0.0183,0.8823,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0013,0.0013,0,0,0,0.0008,0.0002,0,0,0,0.0002,0.023,0.085,0.0063,0.9937,0.9999,0,100
Bulgaria,7543557,0.0056,0.0085,0.8086,0,0,0.8227,0,0,0,0.0003,0.0003,0.122,0.0069,0,0,0,0,0,0.1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473,0.0009,0.9991,1.0001,0,130
Burkina Faso,15583968,0.05,0.24,0,0,0.0035,0.2935,0,0,0,0,0,0.57,0.009,0,0,0,0,0,0.579,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.122,0.005,0.0003,0.9997,0.9999,0,350
Burundi,8595166,0.214,0.614,0.0002,0.0378,0.023,0.889,0,0,0,0,0,0.024,0.001,0,0,0,0,0,0.025,0,0,0,0,0,0.0008,0,0,0.0008,0,0,0,0,0.0809,0.0026,0.0009,0.9991,1,0,350
Cambodia,15308156,0.0016,0.0005,0,0,0.0016,0.0037,0,0,0,0,0,0.0179,0.0013,0,0,0,0,0,0.0192,0.0031,0.9639,0,0.9669,0,0,0,0,0,0,0,0,0,0.0026,0.0039,0.0036,0.9964,0.9999,0,317
